duration,width,height,bitrate,framerate,frames,size,o_bitrate,o_framerate,o_width,o_height,utime
130.35667,176,144,54590,12,1564,889537,56000,12,176,144,0.612
130.35667,176,144,54590,12,1564,889537,56000,12,320,240,0.98
130.35667,176,144,54590,12,1564,889537,56000,12,480,360,1.216
130.35667,176,144,54590,12,1564,889537,56000,12,640,480,1.692
130.35667,176,144,54590,12,1564,889537,56000,12,1280,720,3.456
130.35667,176,144,54590,12,1564,889537,56000,12,1920,1080,6.32
130.35667,176,144,54590,12,1564,889537,56000,15,176,144,0.728
130.35667,176,144,54590,12,1564,889537,56000,15,320,240,0.944
130.35667,176,144,54590,12,1564,889537,56000,15,480,360,1.476
130.35667,176,144,54590,12,1564,889537,56000,15,640,480,1.964
130.35667,176,144,54590,12,1564,889537,56000,15,1280,720,3.968
130.35667,176,144,54590,12,1564,889537,56000,15,1920,1080,8.081
130.35667,176,144,54590,12,1564,889537,56000,24,176,144,0.896
130.35667,176,144,54590,12,1564,889537,56000,24,320,240,1.332
130.35667,176,144,54590,12,1564,889537,56000,24,480,360,2.08
130.35667,176,144,54590,12,1564,889537,56000,24,640,480,2.932
130.35667,176,144,54590,12,1564,889537,56000,24,1280,720,5.724
130.35667,176,144,54590,12,1564,889537,56000,24,1920,1080,11.613
130.35667,176,144,54590,12,1564,889537,56000,25,176,144,0.824
130.35667,176,144,54590,12,1564,889537,56000,25,320,240,1.244
130.35667,176,144,54590,12,1564,889537,56000,25,480,360,2.012
130.35667,176,144,54590,12,1564,889537,56000,25,640,480,2.86
130.35667,176,144,54590,12,1564,889537,56000,25,1280,720,6.6
130.35667,176,144,54590,12,1564,889537,56000,25,1920,1080,11.429
130.35667,176,144,54590,12,1564,889537,56000,29.97,176,144,0.92
130.35667,176,144,54590,12,1564,889537,56000,29.97,320,240,1.104
130.35667,176,144,54590,12,1564,889537,56000,29.97,480,360,2.288
130.35667,176,144,54590,12,1564,889537,56000,29.97,640,480,2.54
130.35667,176,144,54590,12,1564,889537,56000,29.97,1280,720,7.12
130.35667,176,144,54590,12,1564,889537,56000,29.97,1920,1080,13.517
130.35667,176,144,54590,12,1564,889537,109000,12,176,144,0.68
130.35667,176,144,54590,12,1564,889537,109000,12,320,240,1.06
130.35667,176,144,54590,12,1564,889537,109000,12,480,360,1.268
130.35667,176,144,54590,12,1564,889537,109000,12,640,480,1.7
130.35667,176,144,54590,12,1564,889537,109000,12,1280,720,3.264
130.35667,176,144,54590,12,1564,889537,109000,12,1920,1080,6.276
130.35667,176,144,54590,12,1564,889537,109000,15,176,144,0.672
130.35667,176,144,54590,12,1564,889537,109000,15,320,240,0.996
130.35667,176,144,54590,12,1564,889537,109000,15,480,360,1.26
130.35667,176,144,54590,12,1564,889537,109000,15,640,480,1.436
130.35667,176,144,54590,12,1564,889537,109000,15,1280,720,3.588
130.35667,176,144,54590,12,1564,889537,109000,15,1920,1080,7.392
130.35667,176,144,54590,12,1564,889537,109000,24,176,144,0.56
130.35667,176,144,54590,12,1564,889537,109000,24,320,240,0.984
130.35667,176,144,54590,12,1564,889537,109000,24,480,360,1.46
130.35667,176,144,54590,12,1564,889537,109000,24,640,480,2.272
130.35667,176,144,54590,12,1564,889537,109000,24,1280,720,5.992
130.35667,176,144,54590,12,1564,889537,109000,24,1920,1080,10.645
130.35667,176,144,54590,12,1564,889537,109000,25,176,144,0.82
130.35667,176,144,54590,12,1564,889537,109000,25,320,240,1.292
130.35667,176,144,54590,12,1564,889537,109000,25,480,360,1.96
130.35667,176,144,54590,12,1564,889537,109000,25,640,480,2.36
130.35667,176,144,54590,12,1564,889537,109000,25,1280,720,5.752
130.35667,176,144,54590,12,1564,889537,109000,25,1920,1080,10.813
130.35667,176,144,54590,12,1564,889537,109000,29.97,176,144,0.768
130.35667,176,144,54590,12,1564,889537,109000,29.97,320,240,1.444
130.35667,176,144,54590,12,1564,889537,109000,29.97,480,360,2.176
130.35667,176,144,54590,12,1564,889537,109000,29.97,640,480,3.044
130.35667,176,144,54590,12,1564,889537,109000,29.97,1280,720,7.028
130.35667,176,144,54590,12,1564,889537,109000,29.97,1920,1080,13.673
130.35667,176,144,54590,12,1564,889537,242000,12,176,144,0.688
130.35667,176,144,54590,12,1564,889537,242000,12,320,240,1.08
130.35667,176,144,54590,12,1564,889537,242000,12,480,360,1.388
130.35667,176,144,54590,12,1564,889537,242000,12,640,480,1.66
130.35667,176,144,54590,12,1564,889537,242000,12,1280,720,3.732
130.35667,176,144,54590,12,1564,889537,242000,12,1920,1080,6.52
130.35667,176,144,54590,12,1564,889537,242000,15,176,144,0.652
130.35667,176,144,54590,12,1564,889537,242000,15,320,240,1.084
130.35667,176,144,54590,12,1564,889537,242000,15,480,360,1.524
130.35667,176,144,54590,12,1564,889537,242000,15,640,480,2.02
130.35667,176,144,54590,12,1564,889537,242000,15,1280,720,3.96
130.35667,176,144,54590,12,1564,889537,242000,15,1920,1080,7.82
130.35667,176,144,54590,12,1564,889537,242000,24,176,144,0.844
130.35667,176,144,54590,12,1564,889537,242000,24,320,240,1.348
130.35667,176,144,54590,12,1564,889537,242000,24,480,360,2.112
130.35667,176,144,54590,12,1564,889537,242000,24,640,480,2.616
130.35667,176,144,54590,12,1564,889537,242000,24,1280,720,6.572
130.35667,176,144,54590,12,1564,889537,242000,24,1920,1080,12.605
130.35667,176,144,54590,12,1564,889537,242000,25,176,144,0.908
130.35667,176,144,54590,12,1564,889537,242000,25,320,240,1.42
130.35667,176,144,54590,12,1564,889537,242000,25,480,360,2.096
130.35667,176,144,54590,12,1564,889537,242000,25,640,480,2.444
130.35667,176,144,54590,12,1564,889537,242000,25,1280,720,6.004
130.35667,176,144,54590,12,1564,889537,242000,25,1920,1080,11.601
130.35667,176,144,54590,12,1564,889537,242000,29.97,176,144,1.06
130.35667,176,144,54590,12,1564,889537,242000,29.97,320,240,1.46
130.35667,176,144,54590,12,1564,889537,242000,29.97,480,360,2.408
130.35667,176,144,54590,12,1564,889537,242000,29.97,640,480,3.324
130.35667,176,144,54590,12,1564,889537,242000,29.97,1280,720,7.388
130.35667,176,144,54590,12,1564,889537,242000,29.97,1920,1080,15.273
130.35667,176,144,54590,12,1564,889537,539000,12,176,144,0.652
130.35667,176,144,54590,12,1564,889537,539000,12,320,240,1.116
130.35667,176,144,54590,12,1564,889537,539000,12,480,360,1.456
130.35667,176,144,54590,12,1564,889537,539000,12,640,480,1.956
130.35667,176,144,54590,12,1564,889537,539000,12,1280,720,3.572
130.35667,176,144,54590,12,1564,889537,539000,12,1920,1080,6.732
130.35667,176,144,54590,12,1564,889537,539000,15,176,144,0.7
130.35667,176,144,54590,12,1564,889537,539000,15,320,240,1.132
130.35667,176,144,54590,12,1564,889537,539000,15,480,360,1.684
130.35667,176,144,54590,12,1564,889537,539000,15,640,480,2.336
130.35667,176,144,54590,12,1564,889537,539000,15,1280,720,4.332
130.35667,176,144,54590,12,1564,889537,539000,15,1920,1080,7.7
130.35667,176,144,54590,12,1564,889537,539000,24,176,144,0.88
130.35667,176,144,54590,12,1564,889537,539000,24,320,240,1.488
130.35667,176,144,54590,12,1564,889537,539000,24,480,360,2.188
130.35667,176,144,54590,12,1564,889537,539000,24,640,480,3.092
130.35667,176,144,54590,12,1564,889537,539000,24,1280,720,5.648
130.35667,176,144,54590,12,1564,889537,539000,24,1920,1080,11.853
130.35667,176,144,54590,12,1564,889537,539000,25,176,144,0.84
130.35667,176,144,54590,12,1564,889537,539000,25,320,240,1.352
130.35667,176,144,54590,12,1564,889537,539000,25,480,360,2.22
130.35667,176,144,54590,12,1564,889537,539000,25,640,480,2.992
130.35667,176,144,54590,12,1564,889537,539000,25,1280,720,6.544
130.35667,176,144,54590,12,1564,889537,539000,25,1920,1080,12.493
130.35667,176,144,54590,12,1564,889537,539000,29.97,176,144,1.056
130.35667,176,144,54590,12,1564,889537,539000,29.97,320,240,1.664
130.35667,176,144,54590,12,1564,889537,539000,29.97,480,360,2.524
130.35667,176,144,54590,12,1564,889537,539000,29.97,640,480,2.736
130.35667,176,144,54590,12,1564,889537,539000,29.97,1280,720,7.656
130.35667,176,144,54590,12,1564,889537,539000,29.97,1920,1080,14.153
130.35667,176,144,54590,12,1564,889537,820000,12,176,144,0.676
130.35667,176,144,54590,12,1564,889537,820000,12,320,240,1.084
